phase,round,qid,latency_ms,refs,resolved,coverage,pct
cold,1,q1,25487,1,7,1,
cold,1,q2,34894,1,7,1,
cold,1,q3,16510,1,7,1,
cold,2,q1,32220,1,7,1,
cold,2,q2,39874,1,7,1,
cold,2,q3,15001,1,7,1,
cold,3,q1,36573,1,7,1,
cold,3,q2,31561,1,7,1,
cold,3,q3,15327,1,7,1,
warm,1,q1,24012,1,7,1,
warm,1,q2,36548,1,7,1,
warm,1,q3,79,1,7,1,
warm,1,q4,35683,1,7,1,
warm,1,q5,28575,1,7,1,
warm,1,q6,26475,1,7,1,
warm,1,q7,18673,1,7,1,
warm,1,q8,32749,1,7,1,
warm,1,q9,25847,1,7,1,
warm,1,q10,42256,1,7,1,
warm,2,q1,83,1,7,1,
warm,2,q2,79,1,7,1,
warm,2,q3,78,1,7,1,
warm,2,q4,137,1,7,1,
warm,2,q5,82,1,7,1,
warm,2,q6,80,1,7,1,
warm,2,q7,86,1,7,1,
warm,2,q8,78,1,7,1,
warm,2,q9,84,1,7,1,
warm,2,q10,80,1,7,1,
warm,3,q1,82,1,7,1,
warm,3,q2,84,1,7,1,
warm,3,q3,78,1,7,1,
warm,3,q4,126,1,7,1,
warm,3,q5,87,1,7,1,
warm,3,q6,82,1,7,1,
warm,3,q7,84,1,7,1,
warm,3,q8,80,1,7,1,
warm,3,q9,84,1,7,1,
warm,3,q10,89,1,7,1,
