import_no,doc_ms,processed,nodes,graphml,kv_docs,kv_chunks,kv_ent_chunks,kv_rel_chunks,kv_status,kv_cache,vdb_entities,vdb_rel,vdb_chunks,total_bytes
1,135,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1422
2,7,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1422
3,8,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1422
4,6,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1422
5,6,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1422
6,6,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1422
7,7,0,0,-1,1422,-1,-1,-1,-1,-1,-1,-1,-1,1422
8,602598,0,0,-1,11355,-1,-1,-1,8912,-1,-1,-1,-1,20267
9,600499,2,12,17536,12774,6459,2899,4871,11148,59101,80231,118625,35991,352494
10,602897,2,12,17536,14193,6459,2899,4871,12476,72392,80231,118625,35991,368532
11,600184,4,17,31686,15612,14157,4865,9802,14250,116643,116526,236378,79117,644692
